prob_baja_2,enviados,TPR,sensibilidad,especificidad,FPR,precision,accuracy,f1,ganancia
0.005793742757821553,34844,0.9411764705882353,0.9411764705882353,0.7917172900798668,0.2082827099201332,0.03076569854207324,0.7927598539967173,0.05958369229914127,220990000.0
0.0057692307692307696,35364,0.9438103599648815,0.9438103599648815,0.7885287859631811,0.2114712140368189,0.030398145006221015,0.7896119644300728,0.05889926855326959,209990000.0
0.0057306590257879654,35713,0.9455662862159789,0.9455662862159789,0.7863887261401832,0.21361127385981682,0.030157085655083585,0.7874990813551849,0.05845001628134158,202592500.0
0.005,35913,0.9464442493415277,0.9464442493415277,0.7851614295846311,0.2148385704153689,0.030016985492718515,0.7862864701991622,0.05818849184929289,198192500.0
0.0049261083743842365,36116,0.9473222124670764,0.9473222124670764,0.783915631070955,0.21608436892904503,0.029875955255288515,0.7850554861468362,0.057925110723392834,193710000.0
0.0048543689320388345,36322,0.9482001755926251,0.9482001755926251,0.782651330599155,0.21734866940084496,0.02973404548207698,0.7838061291982068,0.05765996636501962,189145000.0
0.004784688995215311,36531,0.9490781387181738,0.9490781387181738,0.7813685281692312,0.2186314718307688,0.029591306014070243,0.7825383993532741,0.05739315104857977,184497500.0
0.004528985507246377,37635,0.9534679543459175,0.9534679543459175,0.7745906441765087,0.2254093558234913,0.02885611797528896,0.7758384165013106,0.056016918553669984,159637500.0
0.0045045045045045045,37857,0.9543459174714662,0.9543459174714662,0.7732276665947146,0.22677233340528535,0.02871331589930528,0.7744910707723965,0.05574930762129449,154632500.0
0.004301075268817204,38322,0.9561018437225637,0.9561018437225637,0.7703721977242591,0.22962780227574087,0.02841709722874589,0.7716677690404449,0.0551937355870353,144045000.0
0.00411522633744856,38565,0.9569798068481123,0.9569798068481123,0.7688797064355978,0.23112029356440222,0.028263969920912745,0.7701918130374072,0.05490630666935322,138462500.0
0.0038461538461538464,39085,0.9587357330992098,0.9587357330992098,0.7656850349995374,0.23431496500046256,0.02793910707432519,0.767031674873227,0.05429594272076372,126362500.0
0.003745318352059925,39352,0.9596136962247586,0.9596136962247586,0.7640445280458849,0.23595547195411515,0.027774954258995732,0.7654087356997624,0.053987305821046654,120120000.0
0.0036900369003690036,39623,0.9604916593503073,0.9604916593503073,0.7623793518147337,0.2376206481852663,0.027610226383666052,0.7637612993312266,0.05367744467886757,113767500.0
